from_loc,to_loc,vehicle,weather,hour,dow,demand,distance_km,price
Gulshan 2,Sainik Club / Banani Railgate,CNG,Regular,2,5,0.88,1.3,134.0
Press Club,Chandpur,CNG,Regular,11,5,0.2,82.0,3206.0
Mirpur 12,MES,Car,Stormy,11,2,0.51,5.3,386.0
Badda,Chairman Bari,CNG,Stormy,1,6,0.45,5.0,411.0
Khilgaon Flyover,Mirpur 11,Car,Rainy,19,1,0.79,13.2,1192.0
Gulshan 2,Shahbagh,CNG,Sunny,9,6,0.67,8.5,533.0
Mohakhali Bus Terminal,Pallabi,Car,Sunny,2,3,0.7,8.3,372.0
House Building,Matsya Bhaban,Car,Regular,6,0,0.67,21.1,873.0
Bashundhara / Jamuna FP,Shahbagh,Car,Stormy,13,0,0.81,11.6,768.0
Mirpur 12,Mirpur 10,Bike,Stormy,12,3,0.19,2.9,120.0
Rajarbagh,Technical,Car,Rainy,4,1,0.96,11.1,672.0
Nabisco,Agargaon (IDB Bhaban),CNG,Rainy,23,2,0.48,2.3,192.0
Chandpur,Azampur,Car,Sunny,6,6,0.91,103.8,3698.0
Jatrabari,Jashimuddin (Uttara),Bike,Rainy,17,3,0.28,24.4,977.0
Khilgaon Flyover,Mohakhali Bus Terminal,Car,Regular,13,3,0.67,5.7,274.0
Bangla Motor,Jagannath University,Car,Sunny,7,6,0.4,6.4,272.0
Jashimuddin (Uttara),Rajlakshmi,Bike,Rainy,1,0,0.52,1.6,98.0
Rajarbagh,Nabisco,CNG,Sunny,2,2,0.15,6.6,306.0
Mirpur 12,Karwan Bazar,Car,Rainy,14,0,0.86,11.7,644.0
Mazar Road,Rajlakshmi,Car,Sunny,15,2,1.0,12.7,509.0
Farmgate,Middle Badda,CNG,Regular,7,0,0.44,7.4,352.0
Paltan,Technical,Bike,Rainy,8,0,0.96,10.3,455.0
Rajarbagh,Notun Bazar,Bus,Stormy,14,0,0.066,8.2,60.0
Mirpur 1,City College / Science Lab,Bus,Stormy,23,1,0.219,8.4,63.0
High Court,Mohakhali Bus Terminal,CNG,Sunny,5,5,0.7,6.6,320.0
Shyamoli,Press Club,Bike,Regular,3,2,0.55,8.6,232.0
Mugda,New Market / Nilkhet,Car,Regular,4,2,0.53,7.9,393.0
Bashundhara / Jamuna FP,Agargaon (IDB Bhaban),Bus,Sunny,23,5,0.213,7.9,51.0
Mirpur 14,Kamalapur,Car,Rainy,22,2,0.67,14.7,795.0
Malibagh Chowdhury Para,Dhanmondi 27,Car,Sunny,11,0,0.94,8.4,359.0
Maniknagar,Shyamoli,Bus,Regular,21,2,0.126,12.9,69.0
Agargaon (IDB Bhaban),Mirpur 11,Bus,Stormy,19,5,0.22799999999999998,5.8,48.0
Abul Hotel,Bashundhara / Jamuna FP,CNG,Sunny,23,1,0.95,6.9,335.0
Mirpur 11,Mugda,Bike,Sunny,8,4,0.27,16.1,425.0
Nabisco,New Market / Nilkhet,Car,Regular,6,2,0.64,6.0,310.0
Tikatuli,Rajlakshmi,Bike,Rainy,10,6,0.17,22.7,903.0
Ray Saheb Bazar,Bashundhara / Jamuna FP,Car,Regular,19,3,0.51,15.3,1074.0
Dhanmondi 15/32,High Court,Car,Sunny,9,0,0.74,4.9,360.0
MES,Kochukhet,Rickshaw,Regular,1,4,0.26,2.3,86.0
Dhanmondi 15/32,Technical,Car,Rainy,23,5,0.66,5.4,359.0
Naya Bazar,Rajlakshmi,CNG,Regular,16,4,0.62,23.3,860.0
Jagannath University,Malibagh Railgate,Bus,Rainy,13,1,0.23099999999999998,7.2,35.0
Rajlakshmi,Ray Saheb Bazar,Bus,Regular,8,2,0.033,24.2,168.0
Nabisco,Amtoli (Mohakhali),Bike,Rainy,7,6,0.28,2.4,114.0
Satrasta,Chandpur,CNG,Regular,0,2,0.64,87.8,3720.0
Karwan Bazar,Nadda,Bus,Stormy,12,5,0.138,9.3,46.0
Mirpur 10,Khilgaon Flyover,Car,Rainy,16,0,0.29,12.2,663.0
Tikatuli,Mazar Road,Bike,Sunny,5,1,0.55,13.0,294.0
Bangla Motor,Notun Bazar,Bike,Regular,10,1,0.12,10.1,339.0
Darussalam,Dhanmondi 27,Bus,Sunny,0,6,0.222,5.5,27.0
Karwan Bazar,Jagannath University,CNG,Sunny,4,0,0.27,7.2,332.0
Cantonment (Radisson),Matsya Bhaban,Bus,Sunny,3,3,0.096,9.3,59.0
Sainik Club / Banani Railgate,Paltan,CNG,Sunny,9,0,0.56,9.6,588.0
Matsya Bhaban,Satrasta,Rickshaw,Rainy,9,6,0.85,3.9,202.0
Rampura Bridge,Press Club,Bus,Sunny,22,4,0.075,5.7,32.0
Rajarbagh,Bangla Motor,Bike,Regular,10,5,0.25,5.2,213.0
Cantonment (Radisson),Nadda,Bus,Regular,10,4,0.141,4.1,42.0
Pallabi,Badda Link Road,Bike,Sunny,17,1,0.47,11.6,360.0
Jagannath University,Matsya Bhaban,CNG,Regular,12,0,0.55,5.3,261.0
Azampur,Badda,CNG,Sunny,16,2,0.28,16.3,623.0
Azimpur / Palashi,Dhanmondi 27,Rickshaw,Sunny,16,2,0.16,3.5,120.0
Paltan,Azampur,Bus,Rainy,21,3,0.219,22.3,106.0
College Gate,Mirpur 11,CNG,Rainy,15,0,0.54,8.1,475.0
Ray Saheb Bazar,Nadda,Bike,Regular,14,2,0.11,14.3,296.0
Khilkhet,Mugda,Bus,Sunny,7,3,0.258,15.5,81.0
Mirpur 11,Kakali (Banani),Bus,Stormy,9,4,0.15,6.4,50.0
Sayedabad Bus Terminal,Asad Gate,Car,Rainy,3,2,0.43,10.6,628.0
Naya Bazar,Tikatuli,Rickshaw,Sunny,1,4,0.19,2.8,85.0
MES,Rajlakshmi,Bus,Rainy,4,4,0.126,9.5,67.0
Mirpur 2,Chairman Bari,CNG,Sunny,8,6,0.9,5.6,386.0
Shahbagh,Mirpur 1,Bike,Sunny,12,2,0.34,9.2,188.0
Satrasta,Technical,Bike,Regular,11,1,0.56,4.5,121.0
Tikatuli,City College / Science Lab,Bus,Regular,22,1,0.288,6.3,58.0
Pallabi,Karwan Bazar,Car,Regular,0,5,0.34,10.8,485.0
Abdullahpur,Kuril / Kuratoli (AIUB),Bike,Sunny,3,6,0.34,12.6,281.0
Jatrabari,Jashimuddin (Uttara),Bus,Rainy,19,3,0.072,24.4,160.0
Khilgaon Flyover,Jagannath University,CNG,Sunny,5,4,0.89,6.7,295.0
Notun Bazar,Tikatuli,Car,Rainy,5,2,1.0,10.5,626.0
Amtoli (Mohakhali),Mazar Road,Car,Rainy,9,2,1.0,6.2,612.0
Badda Link Road,Kalyanpur,CNG,Rainy,10,5,0.38,11.1,929.0
MES,Matsya Bhaban,Bike,Rainy,3,6,0.85,10.4,343.0
Agargaon (IDB Bhaban),Rajarbagh,Car,Regular,18,2,0.71,8.9,677.0
Asad Gate,Abdullahpur,CNG,Regular,4,2,0.5,20.0,907.0
Mohakhali Bus Terminal,Karwan Bazar,Rickshaw,Regular,10,4,0.71,4.5,166.0
Asad Gate,Dhanmondi 27,Bike,Sunny,10,4,0.67,1.2,80.0
Dhanmondi 27,Badda Link Road,Car,Rainy,6,3,0.47,11.0,610.0
Chandpur,Khilkhet,Bike,Rainy,13,5,0.15,95.9,2324.0
Satrasta,Bashundhara / Jamuna FP,Car,Regular,12,4,0.63,8.5,345.0
Azimpur / Palashi,Pallabi,Bus,Sunny,10,3,0.126,13.7,81.0
Asad Gate,Middle Badda,Car,Sunny,12,2,0.9,10.2,423.0
MES,House Building,CNG,Rainy,8,2,0.28,10.9,919.0
Shishu Mela,Khilgaon Flyover,CNG,Sunny,19,3,0.16,9.2,550.0
New Market / Nilkhet,Mirpur 14,Bus,Sunny,19,1,0.10200000000000001,13.5,72.0
Malibagh Railgate,Mirpur 10,CNG,Sunny,9,6,0.43,11.7,698.0
Shahbagh,Rampura Bridge,Bus,Sunny,21,3,0.069,6.0,43.0
Khilkhet,Tikatuli,Car,Regular,4,5,0.8,16.3,734.0
Jashimuddin (Uttara),Kakali (Banani),Bus,Regular,16,0,0.153,11.2,71.0
Dhanmondi 15/32,Shishu Mela,Bike,Regular,12,0,0.62,3.0,98.0
Gulshan 1,Mirpur 1,Bus,Regular,18,3,0.129,6.9,55.0
Asad Gate,Farmgate,Bus,Regular,7,4,0.27,3.0,37.0
Mugda,Darussalam,Bike,Rainy,21,3,0.97,13.6,388.0
Kalyanpur,Mirpur 2,Bus,Sunny,2,3,0.162,3.9,35.0
Kalyanpur,Azimpur / Palashi,Car,Rainy,4,5,0.99,7.5,503.0
Khilkhet,Jatrabari,CNG,Regular,9,1,0.15,18.7,1202.0
Dhanmondi 27,Shahbagh,Rickshaw,Regular,12,0,0.36,3.9,123.0
Kalyanpur,Technical,CNG,Regular,16,3,0.78,0.8,99.0
Middle Badda,Tikatuli,Bike,Regular,6,4,0.79,8.4,198.0
Rampura Bridge,Chairman Bari,CNG,Rainy,15,6,0.68,5.3,330.0
Merul Badda,Gulshan 2,Bus,Regular,20,6,0.198,3.6,46.0
Paltan,Merul Badda,Bus,Rainy,13,0,0.195,7.2,44.0
Mirpur 14,House Building,Bus,Sunny,7,1,0.135,9.1,45.0
Badda,Press Club,Bike,Rainy,20,6,0.93,9.3,424.0
New Market / Nilkhet,Bangla Motor,CNG,Rainy,21,0,0.35,2.6,179.0
Kuril / Kuratoli (AIUB),Pallabi,Car,Regular,16,5,0.71,8.2,378.0
Abdullahpur,Pallabi,CNG,Rainy,3,5,0.35,10.6,643.0
Shyamoli,College Gate,Car,Rainy,9,1,0.99,1.3,226.0
Mirpur 1,Gulshan 1,Bike,Stormy,11,2,0.18,6.9,247.0
Abul Hotel,Azampur,Bike,Sunny,23,5,0.15,17.9,356.0
Gulshan 1,Azampur,Bus,Rainy,9,2,0.273,15.2,113.0
Merul Badda,Shahbagh,Bus,Rainy,11,1,0.22499999999999998,7.9,57.0
New Market / Nilkhet,Malibagh Chowdhury Para,Bus,Sunny,22,0,0.15,7.0,43.0
Kuril / Kuratoli (AIUB),New Market / Nilkhet,Bus,Sunny,0,3,0.108,14.4,81.0
Cantonment (Radisson),Agargaon (IDB Bhaban),Car,Stormy,2,5,0.57,4.7,379.0
Dhanmondi 15/32,College Gate,CNG,Sunny,12,5,0.29,2.4,145.0
Gulshan 1,Kalyanpur,Bike,Rainy,18,5,0.88,7.5,356.0
Mirpur 14,Mirpur 1,CNG,Sunny,8,6,0.97,3.9,287.0
College Gate,High Court,Bus,Sunny,0,6,0.09,6.8,45.0
Mirpur 1,Dhanmondi 27,Bike,Rainy,16,5,0.53,6.8,216.0
Kakali (Banani),Mugda,Car,Sunny,14,4,0.62,10.4,390.0
Gulistan,Shahbagh,Bus,Sunny,21,1,0.216,3.4,35.0
High Court,Azampur,CNG,Sunny,5,5,0.69,21.6,871.0
Abul Hotel,Rampura Bridge,Bus,Sunny,18,6,0.282,0.8,33.0
Matsya Bhaban,Shahbagh,Car,Sunny,2,1,0.85,0.5,95.0
Badda,Mirpur 14,Car,Stormy,2,3,0.47,11.3,793.0
Shyamoli,Abul Hotel,CNG,Sunny,14,5,0.26,9.8,392.0
Mazar Road,Jatrabari,CNG,Sunny,12,1,0.6,15.8,605.0
Khilgaon Flyover,Rajlakshmi,Car,Sunny,6,4,0.85,19.7,682.0
Shishu Mela,Naya Bazar,Bike,Sunny,17,4,0.8,9.0,264.0
Farmgate,Darussalam,Bike,Rainy,12,6,0.85,5.6,203.0
Jatrabari,Jashimuddin (Uttara),Bike,Rainy,7,1,0.56,24.4,635.0
Gulshan 2,Mugda,Car,Regular,9,2,0.74,9.9,718.0
Nabisco,Maniknagar,Car,Stormy,19,5,0.8,9.7,1073.0
Malibagh Railgate,Sayedabad Bus Terminal,Rickshaw,Regular,22,5,0.72,5.0,159.0
Cantonment (Radisson),Jahangir Gate,Bus,Regular,1,4,0.183,4.8,29.0
Rajlakshmi,Badda Link Road,Bike,Sunny,22,6,0.11,15.1,296.0
Rajarbagh,Chandpur,Car,Rainy,21,4,0.37,82.1,3700.0
Mirpur 2,Mirpur 10,Bike,Stormy,9,1,0.15,1.1,113.0
Notun Bazar,Technical,Bike,Stormy,11,2,0.38,11.9,385.0
MES,Mohakhali Bus Terminal,Bus,Sunny,3,6,0.033,4.7,34.0
Mirpur 14,Kamalapur,Bus,Regular,10,0,0.09,14.7,95.0
Shahbagh,Khilgaon Flyover,CNG,Sunny,3,3,0.15,4.5,209.0
Airport,Middle Badda,Bike,Rainy,19,3,0.78,10.6,473.0
Ray Saheb Bazar,Mirpur 12,Bus,Rainy,19,2,0.087,18.1,115.0
Asad Gate,Ray Saheb Bazar,Bus,Rainy,3,1,0.141,8.7,53.0
Middle Badda,Nadda,CNG,Rainy,12,2,0.73,3.9,270.0
Khilkhet,Dhanmondi 15/32,Bus,Sunny,8,6,0.06,14.2,79.0
Karwan Bazar,Kochukhet,Bus,Rainy,19,0,0.177,6.3,59.0
Khilkhet,Kalyanpur,Bus,Sunny,1,4,0.297,11.5,82.0
Kamalapur,Agargaon (IDB Bhaban),Car,Sunny,2,0,0.56,8.5,376.0
Rajarbagh,Tikatuli,Bike,Sunny,16,5,0.12,2.4,84.0
Gulistan,Jagannath University,Car,Regular,3,6,0.11,3.2,182.0
Kochukhet,Tikatuli,Bike,Rainy,11,2,0.21,11.3,308.0
Satrasta,City College / Science Lab,Car,Stormy,2,3,0.24,3.9,334.0
Mohakhali Bus Terminal,MES,CNG,Rainy,12,5,0.21,4.7,291.0
House Building,Mohakhali Bus Terminal,Bike,Sunny,1,3,0.4,15.5,325.0
MES,Bashundhara / Jamuna FP,Bus,Rainy,18,3,0.22499999999999998,3.4,39.0
Jashimuddin (Uttara),Kuril / Kuratoli (AIUB),Bike,Regular,4,1,0.21,8.2,210.0
Khilkhet,Kochukhet,Bus,Stormy,21,5,0.243,6.3,47.0
Darussalam,College Gate,Rickshaw,Sunny,12,3,0.65,3.8,105.0
Middle Badda,Technical,CNG,Rainy,7,2,0.63,10.4,585.0
Paltan,Merul Badda,Bus,Stormy,21,6,0.165,7.2,52.0
Amtoli (Mohakhali),Gulistan,Car,Sunny,18,5,0.11,8.5,562.0
Paltan,Nabisco,CNG,Stormy,2,4,0.56,6.3,438.0
Khilkhet,Pallabi,CNG,Stormy,7,6,0.53,7.1,483.0
Chairman Bari,Chandpur,Car,Regular,15,2,0.9,90.3,3533.0
City College / Science Lab,Press Club,Car,Rainy,4,2,0.21,4.1,286.0
Bashundhara / Jamuna FP,Gulshan 2,Bus,Regular,18,5,0.054,3.1,39.0
Shishu Mela,Kalabagan,CNG,Rainy,10,2,0.3,3.7,372.0
Mirpur 14,Mohakhali Bus Terminal,Bike,Sunny,22,2,0.35,7.9,176.0
Farmgate,Kalabagan,Bus,Regular,22,5,0.042,2.8,34.0
Mohakhali Bus Terminal,House Building,Car,Sunny,10,2,0.72,15.5,987.0
Mohakhali Bus Terminal,Mirpur 11,Car,Rainy,19,5,0.9,7.6,725.0
Kamalapur,Malibagh Chowdhury Para,CNG,Stormy,11,1,0.79,3.3,280.0
Bangla Motor,Cantonment (Radisson),CNG,Sunny,12,0,0.85,8.5,357.0
Dhanmondi 27,Shyamoli,Bus,Rainy,10,0,0.213,3.0,29.0
Kakali (Banani),Airport,Bike,Regular,14,0,0.44,7.5,170.0
Dhanmondi 27,Ray Saheb Bazar,Car,Sunny,13,5,0.15,7.6,307.0
Nabisco,Badda Link Road,Bike,Sunny,15,4,0.2,6.6,131.0
Kalabagan,Press Club,Rickshaw,Sunny,1,3,0.76,4.8,175.0
Gulshan 1,Darussalam,Car,Sunny,23,2,0.37,7.2,335.0
Kalyanpur,Gulistan,Bus,Regular,6,5,0.23399999999999999,10.7,74.0
Naya Bazar,Khilkhet,Car,Rainy,11,5,0.42,17.3,924.0
Dhanmondi 15/32,Mirpur 14,CNG,Sunny,22,1,0.26,11.1,438.0
Farmgate,Shahjahanpur,CNG,Sunny,0,2,0.22,4.3,194.0
Merul Badda,Tikatuli,Bus,Sunny,11,5,0.063,8.1,43.0
Karwan Bazar,Bangla Motor,Bike,Regular,10,3,0.28,0.9,63.0
Mirpur 12,Khilkhet,Bike,Rainy,5,1,0.81,7.1,236.0
Middle Badda,Abul Hotel,Bus,Regular,18,6,0.159,1.9,43.0
Shyamoli,Kakali (Banani),CNG,Regular,9,4,0.57,7.3,466.0
Merul Badda,Mirpur 14,CNG,Sunny,2,2,0.77,10.9,470.0
Ray Saheb Bazar,Shahbagh,Bus,Sunny,12,4,0.159,4.4,38.0
Cantonment (Radisson),Jatrabari,Car,Sunny,12,6,0.57,14.9,578.0
Pallabi,Shahjahanpur,Bus,Sunny,20,0,0.279,13.1,93.0
Azampur,Mohakhali Bus Terminal,Bus,Sunny,10,5,0.216,15.1,101.0
Amtoli (Mohakhali),Rajlakshmi,Bike,Stormy,10,5,0.36,13.8,668.0
City College / Science Lab,Shishu Mela,Car,Rainy,8,3,0.62,4.4,466.0
Jashimuddin (Uttara),Azimpur / Palashi,CNG,Sunny,19,5,0.66,20.6,1196.0
Kakali (Banani),MES,Bus,Sunny,17,6,0.12299999999999998,2.7,19.0
Badda Link Road,Nadda,Car,Sunny,13,5,0.85,3.3,178.0
City College / Science Lab,Amtoli (Mohakhali),Car,Sunny,22,3,0.48,7.2,298.0
Kalyanpur,Press Club,Car,Regular,19,4,0.26,9.5,616.0
Karwan Bazar,Asad Gate,Bus,Rainy,12,5,0.033,3.5,44.0
Asad Gate,Azampur,CNG,Stormy,0,5,0.42,18.3,1231.0
Airport,Gulistan,CNG,Regular,22,6,0.25,17.7,748.0
Shishu Mela,Airport,Car,Regular,17,2,0.84,13.1,936.0
MES,Mugda,Car,Rainy,12,0,0.82,13.1,712.0
Satrasta,Sainik Club / Banani Railgate,CNG,Regular,19,4,0.92,5.1,351.0
Mirpur 11,Rajlakshmi,Bike,Sunny,5,2,0.36,9.1,206.0
Karwan Bazar,Mugda,CNG,Sunny,1,2,0.26,7.5,330.0
Jagannath University,Azampur,CNG,Regular,10,1,0.9,26.0,1641.0
Nadda,Jashimuddin (Uttara),Car,Regular,21,2,0.33,10.5,454.0
Asad Gate,Notun Bazar,Bike,Regular,12,5,0.63,12.2,271.0
Jahangir Gate,MES,Car,Sunny,9,1,0.57,5.5,393.0
Gulshan 1,Merul Badda,Bus,Regular,8,4,0.24599999999999997,2.9,27.0
Jatrabari,Badda,Car,Regular,4,6,0.7,11.3,533.0
Rampura Bridge,Jatrabari,Bike,Rainy,8,2,0.14,8.0,354.0
Shahjahanpur,Malibagh Chowdhury Para,Car,Stormy,9,4,0.29,1.6,220.0
Gulshan 1,Kalabagan,Bike,Rainy,22,6,0.98,7.6,236.0
Airport,Naya Bazar,Bike,Rainy,22,6,0.72,18.8,504.0
Tikatuli,Azampur,CNG,Regular,9,6,0.55,23.7,1498.0
Shyamoli,Chandpur,Bus,Rainy,18,5,0.138,89.8,525.0
Kamalapur,Gulistan,Car,Rainy,15,6,0.34,1.2,125.0
City College / Science Lab,Gulshan 1,Bike,Sunny,19,2,0.89,7.6,267.0
House Building,Rajarbagh,Bike,Sunny,5,1,0.95,22.2,461.0
Abdullahpur,Sayedabad Bus Terminal,Car,Rainy,13,2,0.96,27.0,1420.0
Kalyanpur,Gulshan 1,Car,Stormy,21,2,0.82,7.5,518.0
Jagannath University,Naya Bazar,Bus,Regular,2,5,0.11399999999999999,1.7,24.0
Nabisco,Chandpur,Bike,Regular,17,6,0.75,88.2,2644.0
Kalyanpur,MES,CNG,Stormy,2,3,0.94,7.4,557.0
Jahangir Gate,House Building,Bike,Regular,7,6,0.32,15.3,306.0
Cantonment (Radisson),Mazar Road,Bus,Regular,0,1,0.129,5.4,32.0
Kochukhet,Gulistan,CNG,Regular,13,2,0.32,10.8,458.0
College Gate,Mazar Road,CNG,Rainy,4,1,0.68,4.5,311.0
Shyamoli,Tikatuli,Bus,Regular,1,5,0.192,10.8,54.0
Agargaon (IDB Bhaban),Jahangir Gate,Bus,Sunny,18,0,0.183,0.3,28.0
Mirpur 11,Shahjahanpur,Car,Stormy,21,5,0.84,12.3,805.0
Ray Saheb Bazar,Farmgate,Car,Sunny,17,6,0.94,7.4,512.0
Jatrabari,Abdullahpur,Car,Rainy,0,3,0.31,28.4,1542.0
Asad Gate,Darussalam,Bike,Sunny,9,0,0.45,4.3,158.0
Amtoli (Mohakhali),Farmgate,CNG,Regular,14,1,0.88,4.3,240.0
Naya Bazar,Kalyanpur,Bus,Stormy,23,1,0.297,10.6,67.0
Mirpur 10,Agargaon (IDB Bhaban),Rickshaw,Rainy,10,4,0.74,4.8,223.0
Shahjahanpur,MES,Bus,Stormy,23,2,0.036,9.6,63.0
Kochukhet,Mirpur 1,Rickshaw,Sunny,2,5,0.44,4.0,123.0
Khilkhet,Chandpur,Bus,Rainy,18,0,0.174,95.9,564.0
Notun Bazar,Badda,Rickshaw,Rainy,23,5,0.75,1.3,109.0
Nadda,Shyamoli,Bus,Sunny,17,4,0.042,10.9,63.0
Kuril / Kuratoli (AIUB),Dhanmondi 27,Bus,Regular,21,1,0.168,13.1,63.0
Mirpur 10,Badda Link Road,Car,Sunny,22,6,0.28,10.4,408.0
Sainik Club / Banani Railgate,Agargaon (IDB Bhaban),Car,Rainy,17,4,0.5,4.6,421.0
Jahangir Gate,Notun Bazar,CNG,Sunny,22,1,0.29,9.8,397.0
Asad Gate,Mirpur 10,Car,Stormy,1,6,0.85,7.6,577.0
Karwan Bazar,Ray Saheb Bazar,Bike,Rainy,2,6,0.67,6.5,242.0
Kochukhet,Sayedabad Bus Terminal,Bike,Regular,17,2,0.16,12.6,394.0
Jagannath University,Mazar Road,Bus,Regular,6,1,0.069,13.9,84.0
Technical,Badda Link Road,Car,Sunny,9,2,0.68,10.7,711.0
College Gate,Nabisco,Car,Rainy,13,2,0.82,4.3,292.0
Technical,Khilkhet,Bike,Sunny,9,0,0.65,10.8,347.0
Amtoli (Mohakhali),Karwan Bazar,Rickshaw,Sunny,7,5,0.37,4.8,130.0
Mazar Road,Shahjahanpur,Bus,Stormy,20,1,0.291,10.0,77.0
Satrasta,Kalyanpur,Car,Sunny,17,6,0.35,4.4,320.0
Cantonment (Radisson),Shahjahanpur,CNG,Sunny,14,3,0.3,8.6,357.0
Nadda,Dhanmondi 15/32,Bike,Regular,13,3,0.66,11.7,263.0
Mohakhali Bus Terminal,Nadda,Rickshaw,Sunny,11,0,0.38,4.9,136.0
Sayedabad Bus Terminal,New Market / Nilkhet,Bike,Sunny,19,3,0.95,6.7,250.0
Middle Badda,Rajlakshmi,CNG,Rainy,0,0,0.12,15.6,902.0
Middle Badda,Kalyanpur,CNG,Regular,5,3,0.27,10.7,506.0
Kochukhet,Press Club,Bike,Sunny,19,6,0.2,9.8,316.0
Mirpur 12,Azampur,Car,Regular,11,5,0.37,8.2,375.0
Azampur,Kuril / Kuratoli (AIUB),Bus,Regular,7,1,0.036,10.5,62.0
Airport,Azimpur / Palashi,Bus,Rainy,19,2,0.282,17.0,134.0
Middle Badda,Matsya Bhaban,Bus,Regular,5,4,0.273,7.8,53.0
Khilkhet,Notun Bazar,Bus,Rainy,21,5,0.11699999999999999,7.6,49.0
Nadda,Mugda,Bus,Rainy,10,4,0.24,11.0,65.0
Kalyanpur,Jahangir Gate,Car,Sunny,2,1,0.77,2.5,160.0
Karwan Bazar,Gulshan 1,Bike,Rainy,2,6,0.96,5.2,205.0
Abul Hotel,Rajarbagh,Bus,Sunny,22,5,0.174,4.2,36.0
Jagannath University,Rampura Bridge,Bus,Sunny,1,1,0.222,9.1,63.0
Jatrabari,Jahangir Gate,Car,Stormy,16,1,0.63,13.1,851.0
Mirpur 1,Shishu Mela,Bus,Regular,7,1,0.12,4.5,25.0
Dhanmondi 15/32,Rajarbagh,CNG,Rainy,7,3,0.18,7.7,453.0
Dhanmondi 27,Kuril / Kuratoli (AIUB),Bus,Sunny,6,3,0.279,13.1,63.0
Kamalapur,Rajarbagh,Rickshaw,Rainy,5,5,0.88,1.7,124.0
Mirpur 14,Kuril / Kuratoli (AIUB),CNG,Sunny,6,0,0.49,7.6,315.0
College Gate,Shyamoli,Bus,Rainy,15,1,0.084,1.3,31.0
Matsya Bhaban,Kalabagan,Bike,Sunny,17,5,0.42,3.0,127.0
Mirpur 14,Naya Bazar,Bus,Sunny,22,3,0.297,16.1,83.0
Press Club,MES,CNG,Rainy,3,1,0.67,12.0,727.0
Nadda,Kalyanpur,Car,Sunny,0,3,0.93,10.6,465.0
Shishu Mela,Maniknagar,Bike,Regular,12,2,0.41,12.4,267.0
Shyamoli,Tikatuli,Car,Rainy,17,4,0.87,10.8,909.0
Chandpur,Middle Badda,Bus,Rainy,14,4,0.174,87.3,357.0
Badda Link Road,Gulshan 2,Bus,Regular,20,5,0.11399999999999999,3.6,44.0
Airport,Nabisco,CNG,Sunny,15,5,0.79,11.1,457.0
Mirpur 12,Gulistan,CNG,Sunny,11,3,0.44,16.7,615.0
Dhanmondi 27,Abdullahpur,Car,Sunny,13,1,0.78,21.2,808.0
Shyamoli,Chandpur,Bike,Regular,20,0,0.29,89.8,2685.0
City College / Science Lab,Badda Link Road,Car,Rainy,5,6,0.16,10.4,614.0
Dhanmondi 27,City College / Science Lab,Bike,Sunny,3,6,0.68,2.1,98.0
Pallabi,Shahjahanpur,CNG,Rainy,10,2,0.59,13.1,1085.0
Jatrabari,Mohakhali Bus Terminal,CNG,Sunny,9,3,0.31,11.3,670.0
Badda,Shahbagh,Bike,Rainy,16,5,0.7,9.4,269.0
Azimpur / Palashi,Gulistan,Car,Regular,22,0,0.75,4.2,241.0
Merul Badda,Abdullahpur,Bus,Stormy,11,5,0.291,18.7,104.0
Azimpur / Palashi,College Gate,CNG,Regular,11,6,0.3,5.2,247.0
Kuril / Kuratoli (AIUB),Badda,Bike,Rainy,18,5,0.65,5.8,291.0
Mazar Road,Shahbagh,Bus,Rainy,18,4,0.084,8.9,70.0
Asad Gate,Rajarbagh,Bike,Sunny,6,4,0.51,8.9,171.0
Rajarbagh,Darussalam,Car,Regular,0,3,0.97,11.5,557.0
Amtoli (Mohakhali),Mirpur 2,Car,Rainy,0,4,0.79,6.0,368.0
Shishu Mela,Jagannath University,Bike,Regular,15,5,0.56,10.4,225.0
Abdullahpur,Maniknagar,CNG,Regular,5,0,0.35,27.0,1183.0
Mirpur 10,Sayedabad Bus Terminal,Bike,Regular,8,2,0.76,16.0,524.0
Kalabagan,Chairman Bari,CNG,Rainy,23,6,0.74,8.1,512.0
Mirpur 1,Mohakhali Bus Terminal,Bike,Stormy,8,0,0.12,6.0,342.0
Nadda,Badda,CNG,Stormy,20,5,0.58,3.5,418.0
Farmgate,Shahbagh,CNG,Sunny,4,5,0.55,3.0,163.0
City College / Science Lab,Jashimuddin (Uttara),CNG,Regular,18,3,0.22,19.3,1226.0
Naya Bazar,Chandpur,Car,Sunny,0,6,0.13,80.4,3015.0
Kalyanpur,Mirpur 1,Bus,Regular,15,5,0.051000000000000004,3.0,10.0
High Court,Mirpur 14,Bus,Sunny,5,2,0.138,13.6,74.0
City College / Science Lab,Matsya Bhaban,Bike,Sunny,3,6,0.97,2.5,107.0
Rajlakshmi,Ray Saheb Bazar,Bus,Sunny,13,5,0.10200000000000001,24.2,107.0
Asad Gate,Agargaon (IDB Bhaban),Rickshaw,Sunny,11,1,0.39,3.5,101.0
New Market / Nilkhet,Mohakhali Bus Terminal,Bus,Stormy,17,1,0.15,7.9,66.0
Mirpur 12,Mirpur 14,Rickshaw,Rainy,22,6,0.71,1.2,87.0
Jahangir Gate,Kakali (Banani),Bike,Sunny,1,3,0.72,4.6,132.0
Paltan,Mirpur 12,Car,Sunny,9,2,0.17,15.7,1002.0
Badda,Dhanmondi 15/32,Car,Regular,9,0,0.3,11.1,784.0
